Name,IsBad,Gender,EyeColor,Race,HairColor,SkinColor,Height,Weight,Intelligence,Strength,Speed,Durability,Power,Combat,Total
rocket raccoon,False,male,brown,animal,brown,,122.0,25.0,50.0,5.0,23.0,28.0,28.0,64.0,198.0
rogue,False,female,green,,brown / white,,173.0,54.0,75.0,10.0,12.0,28.0,80.0,80.0,285.0
ronin,False,male,blue,human,blond,,191.0,104.0,38.0,10.0,27.0,32.0,21.0,90.0,218.0
sabretooth,True,male,amber,mutant,blond,,198.0,171.0,55.0,53.0,25.0,90.0,28.0,100.0,351.0
sage,False,female,blue,,black,,170.0,61.0,75.0,10.0,12.0,14.0,28.0,56.0,195.0
sandman,False,male,brown,human,brown,,185.0,203.0,50.0,75.0,47.0,97.0,62.0,56.0,387.0
sasquatch,False,male,red,,orange,,305.0,900.0,75.0,80.0,23.0,56.0,15.0,42.0,291.0
scarlet spider,False,male,blue,human,blond,,178.0,74.0,75.0,53.0,60.0,74.0,39.0,56.0,357.0
scarlet spider ii,False,male,brown,clone,brown,,193.0,113.0,88.0,55.0,60.0,40.0,30.0,56.0,329.0
scarlet witch,True,female,blue,mutant,brown,,170.0,59.0,88.0,10.0,23.0,42.0,67.0,28.0,258.0
scorpia,True,female,green,,red,,,,38.0,28.0,42.0,28.0,34.0,28.0,198.0
scorpion,True,male,brown,human,brown,,211.0,310.0,50.0,52.0,60.0,85.0,49.0,80.0,376.0
sebastian shaw,True,male,,mutant,,,,,,,,,,,
sentry,False,male,blue,mutant,blond,,188.0,87.0,75.0,80.0,58.0,84.0,97.0,54.0,448.0
shadow king,False,,red,,,,185.0,149.0,75.0,12.0,27.0,100.0,100.0,75.0,389.0
shadowcat,False,female,hazel,mutant,brown,,168.0,50.0,88.0,8.0,21.0,25.0,69.0,70.0,281.0
shang-chi,False,male,brown,human,black,,178.0,79.0,63.0,12.0,30.0,50.0,25.0,100.0,280.0
shatterstar,False,male,brown,,red,,191.0,88.0,63.0,48.0,45.0,64.0,42.0,84.0,346.0
she-hulk,False,female,green,human,green,,201.0,315.0,69.0,100.0,42.0,100.0,33.0,70.0,414.0
she-thing,False,female,blue,human / radiation,no hair,,183.0,153.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
shocker,True,male,brown,human,brown,,175.0,79.0,63.0,10.0,23.0,70.0,63.0,56.0,285.0
shriek,False,female,yellow / blue,,black,,173.0,52.0,50.0,10.0,23.0,28.0,45.0,42.0,198.0
sif,False,female,blue,asgardian,black,,188.0,191.0,50.0,57.0,25.0,52.0,19.0,70.0,273.0
silk,False,female,brown,human,black,,,,,,,,,,
silver surfer,False,male,white,alien,no hair,silver,193.0,101.0,63.0,100.0,84.0,101.0,100.0,32.0,480.0
silverclaw,False,female,brown,,black,,157.0,50.0,50.0,28.0,35.0,42.0,34.0,42.0,231.0
siryn,True,female,blue,,strawberry blond,,168.0,52.0,38.0,8.0,47.0,28.0,50.0,42.0,213.0
skaar,False,male,green,,black,,198.0,180.0,50.0,85.0,27.0,90.0,62.0,85.0,399.0
snake-eyes,True,male,,animal,,,,,,,,,,,
snowbird,False,female,white,,blond,,178.0,49.0,50.0,32.0,27.0,42.0,63.0,52.0,266.0
songbird,False,female,green,,red / white,,165.0,65.0,75.0,36.0,27.0,42.0,55.0,56.0,291.0
speedball,False,male,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
spider-carnage,True,male,,symbiote,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
spider-girl,False,female,blue,human,brown,,170.0,54.0,63.0,38.0,60.0,65.0,46.0,75.0,347.0
spider-gwen,False,female,blue,human,blond,,165.0,56.0,,,,,,,
spider-man,False,male,hazel,human,brown,,178.0,74.0,88.0,55.0,60.0,74.0,58.0,85.0,420.0
spider-woman,False,female,green,human,black,,178.0,59.0,50.0,42.0,42.0,32.0,62.0,52.0,280.0
spider-woman ii,False,female,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
spider-woman iii,False,female,brown,,brown,,173.0,55.0,50.0,48.0,27.0,42.0,60.0,28.0,255.0
spider-woman iv,True,female,red,,white,,178.0,58.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
spyke,False,male,brown,mutant,blond,,183.0,83.0,50.0,12.0,17.0,60.0,41.0,30.0,210.0
stacy x,False,female,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
star-lord,False,male,blue,human-spartoi,blond,,188.0,79.0,,,,,,,
stardust,False,male,,,,,,,88.0,85.0,100.0,110.0,100.0,85.0,568.0
storm,False,female,blue,mutant,white,,180.0,57.0,75.0,10.0,47.0,30.0,88.0,75.0,325.0
sunspot,False,male,brown,mutant,black,,173.0,77.0,63.0,63.0,35.0,25.0,79.0,70.0,335.0
swarm,True,male,yellow,mutant,no hair,yellow,196.0,47.0,,,,,,,
synch,False,male,brown,,black,,180.0,74.0,75.0,67.0,23.0,28.0,74.0,56.0,323.0
taskmaster,True,male,brown,human,brown,,188.0,99.0,,,,,,,
tempest,False,female,brown,,black,,163.0,54.0,38.0,10.0,45.0,28.0,62.0,60.0,243.0
thanos,True,male,red,eternal,no hair,purple,201.0,443.0,88.0,100.0,17.0,100.0,100.0,80.0,485.0
thing,False,male,blue,human / radiation,no hair,,183.0,225.0,75.0,84.0,21.0,90.0,26.0,80.0,376.0
thor,False,male,blue,asgardian,blond,,198.0,288.0,69.0,100.0,92.0,100.0,100.0,85.0,546.0
thor girl,False,female,blue,asgardian,blond,,175.0,143.0,75.0,83.0,70.0,84.0,100.0,70.0,482.0
thunderbird,False,male,brown,,black,,185.0,101.0,50.0,32.0,27.0,32.0,14.0,70.0,225.0
thunderbird ii,False,male,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
thunderbird iii,False,male,brown,,black,,175.0,74.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
thunderstrike,False,male,blue,,blond,,198.0,288.0,63.0,80.0,70.0,84.0,31.0,72.0,400.0
thundra,False,female,green,,red,,218.0,158.0,38.0,81.0,32.0,64.0,26.0,54.0,295.0
tiger shark,True,male,grey,human,no hair,grey,185.0,203.0,38.0,72.0,42.0,70.0,21.0,28.0,271.0
tigra,False,female,green,,auburn,,178.0,81.0,63.0,32.0,53.0,38.0,33.0,90.0,309.0
tinkerer,True,male,brown,,white,,163.0,54.0,100.0,10.0,23.0,14.0,10.0,14.0,171.0
toad,False,male,black,mutant,brown,green,175.0,76.0,50.0,34.0,58.0,56.0,49.0,28.0,275.0
toxin,False,male,blue,symbiote,brown,,188.0,97.0,56.0,73.0,70.0,84.0,75.0,70.0,428.0
triton,False,male,green,inhuman,no hair,green,188.0,86.0,,,,,,,
ultragirl,False,female,blue,,blond,,168.0,105.0,50.0,80.0,35.0,70.0,35.0,80.0,350.0
ultron,True,male,red,android,,silver,206.0,331.0,88.0,83.0,42.0,100.0,100.0,64.0,477.0
utgard-loki,True,male,blue,frost giant,white,,15.2,58.0,50.0,80.0,23.0,84.0,72.0,64.0,373.0
vagabond,False,female,blue,,strawberry blond,,168.0,54.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
valkyrie,False,female,blue,,blond,,191.0,214.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
vanisher,True,male,green,,no hair,,165.0,79.0,63.0,10.0,75.0,56.0,39.0,42.0,285.0
venom,True,male,blue,symbiote,strawberry blond,,191.0,117.0,75.0,57.0,65.0,84.0,79.0,84.0,444.0
venom ii,True,male,brown,,black,,175.0,50.0,50.0,57.0,47.0,70.0,54.0,56.0,334.0
venom iii,True,male,brown,symbiote,brown,,229.0,334.0,63.0,73.0,35.0,90.0,66.0,56.0,383.0
venompool,True,male,,symbiote,,,226.0,,,,,,,,
vertigo ii,False,female,blue,,silver,,168.0,52.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
vindicator,False,female,green,human,red,,165.0,54.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
vision,False,male,gold,android,no hair,red,191.0,135.0,100.0,72.0,54.0,95.0,76.0,70.0,467.0
vision ii,False,,red,,no hair,,191.0,135.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
vulcan,False,male,black,,black,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
vulture,True,male,brown,human,no hair,,180.0,79.0,63.0,22.0,47.0,56.0,40.0,56.0,284.0
walrus,True,male,blue,human,black,,183.0,162.0,50.0,28.0,8.0,50.0,11.0,20.0,167.0
war machine,False,male,brown,human,brown,,185.0,95.0,63.0,80.0,63.0,100.0,100.0,85.0,491.0
warbird,False,female,blue,,blond,,180.0,54.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
warlock,False,male,red,,blond,,188.0,108.0,88.0,36.0,79.0,95.0,71.0,95.0,464.0
warpath,False,male,brown,mutant,black,,218.0,158.0,38.0,72.0,47.0,70.0,26.0,84.0,337.0
wasp,False,female,blue,human,auburn,,163.0,50.0,63.0,8.0,58.0,52.0,23.0,42.0,246.0
watcher,False,male,,,,,,,100.0,80.0,67.0,89.0,100.0,56.0,492.0
weapon xi,True,male,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
white queen,False,female,blue,,blond,,178.0,65.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
winter soldier,False,male,brown,human,brown,,175.0,117.0,56.0,32.0,35.0,65.0,60.0,84.0,332.0
wiz kid,False,,brown,,black,,140.0,39.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
wolfsbane,False,female,green,,auburn,,366.0,473.0,38.0,16.0,35.0,42.0,26.0,42.0,199.0
wolverine,False,male,blue,mutant,black,,160.0,135.0,55.0,32.0,38.0,100.0,44.0,100.0,369.0
wonder man,False,male,red,,black,,188.0,171.0,75.0,100.0,53.0,90.0,64.0,64.0,446.0
wondra,False,female,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
wyatt wingfoot,False,male,brown,,black,,196.0,117.0,10.0,10.0,12.0,1.0,1.0,56.0,90.0
x-23,False,female,green,mutant / clone,black,,155.0,50.0,75.0,24.0,35.0,90.0,27.0,85.0,336.0
x-man,False,male,blue,,brown,,175.0,61.0,88.0,53.0,53.0,95.0,92.0,84.0,465.0
yellow claw,True,male,blue,,no hair,,188.0,95.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
yellowjacket,False,male,blue,human,blond,,183.0,83.0,88.0,10.0,12.0,28.0,12.0,14.0,164.0
yellowjacket ii,False,female,blue,human,strawberry blond,,165.0,52.0,50.0,10.0,35.0,28.0,31.0,28.0,182.0
ymir,False,male,white,frost giant,no hair,white,304.8,,50.0,100.0,27.0,100.0,83.0,28.0,388.0
