,Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight,Intelligence,Strength,Speed,Durability,Power,Combat,Total
303,Guardian,0,Male,brown,Human,Black,Marvel Comics,1,-99.0,-99.0,,,,,,,
304,Guy Gardner,0,Male,blue,Human-Vuldarian,Red,DC Comics,1,188.0,95.0,,,,,,,
305,Hal Jordan,0,Male,brown,Human,Brown,DC Comics,1,188.0,90.0,,,,,,,
306,Han Solo,0,Male,brown,Human,Brown,George Lucas,1,183.0,79.0,,,,,,,
307,Hancock,0,Male,brown,Human,Black,Sony Pictures,1,188.0,-99.0,,,,,,,
308,Harley Quinn,1,Female,blue,Human,Blond,DC Comics,1,170.0,63.0,,,,,,,
309,Harry Potter,0,Male,green,Human,Black,J. K. Rowling,1,-99.0,-99.0,,,,,,,
310,Havok,0,Male,blue,Mutant,Blond,Marvel Comics,1,183.0,79.0,,,,,,,
311,Hawk,0,Male,red,1,Brown,DC Comics,1,185.0,89.0,,,,,,,
312,Hawkeye,0,Male,blue,Human,Blond,Marvel Comics,1,191.0,104.0,,,,,,,
313,Hawkeye II,0,Female,blue,Human,Black,Marvel Comics,1,165.0,57.0,,,,,,,
314,Hawkgirl,0,Female,green,1,Red,DC Comics,1,175.0,61.0,,,,,,,
315,Hawkman,0,Male,blue,1,Brown,DC Comics,1,185.0,88.0,,,,,,,
316,Hawkwoman,0,Female,green,1,Red,DC Comics,1,175.0,54.0,,,,,,,
317,Hawkwoman II,0,Female,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
318,Hawkwoman III,0,Female,blue,1,Red,DC Comics,1,170.0,65.0,,,,,,,
319,Heat Wave,1,Male,blue,Human,No Hair,DC Comics,1,180.0,81.0,,,,,,,
320,Hela,1,Female,green,Asgardian,Black,Marvel Comics,1,213.0,225.0,,,,,,,
321,Hellboy,0,Male,gold,Demon,Black,Dark Horse Comics,1,259.0,158.0,,,,,,,
322,Hellcat,0,Female,blue,Human,Red,Marvel Comics,1,173.0,61.0,,,,,,,
323,Hellstorm,0,Male,red,1,Red,Marvel Comics,1,185.0,81.0,,,,,,,
324,Hercules,0,Male,blue,Demi-God,Brown,Marvel Comics,1,196.0,146.0,,,,,,,
325,Hiro Nakamura,0,Male,1,1,1,NBC - Heroes,1,-99.0,-99.0,,,,,,,
326,Hit-Girl,0,Female,1,Human,1,Icon Comics,1,-99.0,-99.0,,,,,,,
327,Hobgoblin,1,Male,blue,1,Grey,Marvel Comics,1,180.0,83.0,,,,,,,
328,Hollow,0,Female,blue,1,Red,Marvel Comics,1,170.0,-99.0,,,,,,,
329,Hope Summers,0,Female,green,1,Red,Marvel Comics,1,168.0,48.0,,,,,,,
330,Howard the Duck,0,Male,brown,1,Yellow,Marvel Comics,1,79.0,18.0,,,,,,,
331,Hulk,0,Male,green,Human / Radiation,Green,Marvel Comics,green,244.0,630.0,,,,,,,
332,Human Torch,0,Male,blue,Human / Radiation,Blond,Marvel Comics,1,178.0,77.0,,,,,,,
333,Huntress,0,Female,blue,1,Black,DC Comics,1,180.0,59.0,,,,,,,
334,Husk,0,Female,blue,Mutant,Blond,Marvel Comics,1,170.0,58.0,,,,,,,
335,Hybrid,0,Male,brown,Symbiote,Black,Marvel Comics,1,175.0,77.0,,,,,,,
336,Hydro-Man,1,Male,brown,1,Brown,Marvel Comics,1,188.0,119.0,,,,,,,
337,Hyperion,0,Male,blue,Eternal,Red,Marvel Comics,1,183.0,207.0,,,,,,,
338,Iceman,0,Male,brown,Mutant,Brown,Marvel Comics,1,173.0,65.0,,,,,,,
339,Impulse,0,Male,yellow,Human,Auburn,DC Comics,1,170.0,65.0,,,,,,,
340,Indiana Jones,0,Male,1,Human,1,George Lucas,1,183.0,79.0,,,,,,,
341,Indigo,1,Female,1,Alien,Purple,DC Comics,1,-99.0,-99.0,,,,,,,
342,Ink,0,Male,blue,Mutant,No Hair,Marvel Comics,1,180.0,81.0,,,,,,,
343,Invisible Woman,0,Female,blue,Human / Radiation,Blond,Marvel Comics,1,168.0,54.0,,,,,,,
344,Iron Fist,0,Male,blue,Human,Blond,Marvel Comics,1,180.0,79.0,,,,,,,
345,Iron Man,0,Male,blue,Human,Black,Marvel Comics,1,198.0,191.0,,,,,,,
346,Iron Monger,1,Male,blue,1,No Hair,Marvel Comics,1,-99.0,2.0,,,,,,,
347,Isis,0,Female,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
348,Jack Bauer,0,Male,1,1,1,,1,-99.0,-99.0,,,,,,,
349,Jack of Hearts,0,Male,blue / white,Human,Brown,Marvel Comics,1,155.0,79.0,,,,,,,
350,Jack-Jack,0,Male,blue,Human,Brown,Dark Horse Comics,1,71.0,14.0,,,,,,,
351,James Bond,0,Male,blue,Human,Blond,Titan Books,1,183.0,-99.0,,,,,,,
352,James T. Kirk,0,Male,hazel,Human,Brown,Star Trek,1,178.0,77.0,,,,,,,
353,Jar Jar Binks,0,Male,yellow,Gungan,1,George Lucas,orange / white,193.0,-99.0,,,,,,,
354,Jason Bourne,0,Male,1,Human,1,,1,-99.0,-99.0,,,,,,,
355,Jean Grey,0,Female,green,Mutant,Red,Marvel Comics,1,168.0,52.0,,,,,,,
356,Jean-Luc Picard,0,Male,1,Human,1,Star Trek,1,-99.0,-99.0,,,,,,,
357,Jennifer Kale,0,Female,blue,1,Blond,Marvel Comics,1,168.0,55.0,,,,,,,
358,Jesse Quick,0,Female,1,Human,1,DC Comics,1,-99.0,-99.0,,,,,,,
359,Jessica Cruz,0,Female,green,Human,Brown,DC Comics,1,-99.0,-99.0,,,,,,,
360,Jessica Jones,0,Female,brown,Human,Brown,Marvel Comics,1,170.0,56.0,,,,,,,
361,Jessica Sanders,0,Female,1,1,1,NBC - Heroes,1,-99.0,-99.0,,,,,,,
362,Jigsaw,1,Male,blue,1,Black,Marvel Comics,1,188.0,113.0,,,,,,,
363,Jim Powell,0,Male,1,1,1,ABC Studios,1,-99.0,-99.0,,,,,,,
364,JJ Powell,0,Male,1,1,1,ABC Studios,1,-99.0,-99.0,,,,,,,
365,Johann Krauss,0,Male,1,1,1,Dark Horse Comics,1,-99.0,-99.0,,,,,,,
366,John Constantine,0,Male,blue,Human,Blond,DC Comics,1,183.0,-99.0,,,,,,,
367,John Stewart,0,Male,green,Human,Black,DC Comics,1,185.0,90.0,,,,,,,
368,John Wraith,0,Male,brown,1,Black,Marvel Comics,1,183.0,88.0,,,,,,,
369,Joker,1,Male,green,Human,Green,DC Comics,white,196.0,86.0,,,,,,,
370,Jolt,0,Female,blue,1,Black,Marvel Comics,1,165.0,49.0,,,,,,,
371,Jubilee,0,Female,red,Mutant,Black,Marvel Comics,1,165.0,52.0,,,,,,,
372,Judge Dredd,0,Male,1,Human,1,Rebellion,1,188.0,-99.0,,,,,,,
373,Juggernaut,1,Male,blue,Human,Red,Marvel Comics,1,287.0,855.0,,,,,,,
374,Junkpile,1,Male,1,Mutant,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
375,Justice,0,Male,hazel,Human,Brown,Marvel Comics,1,178.0,81.0,,,,,,,
376,Jyn Erso,0,Female,green,Human,Brown,George Lucas,1,-99.0,-99.0,,,,,,,
377,K-2SO,0,Male,white,Android,No Hair,George Lucas,gray,213.0,-99.0,,,,,,,
378,Kang,1,Male,brown,1,Brown,Marvel Comics,1,191.0,104.0,,,,,,,
379,Karate Kid,0,Male,brown,Human,Brown,DC Comics,1,173.0,72.0,,,,,,,
380,Kathryn Janeway,0,Female,1,Human,1,Star Trek,1,-99.0,-99.0,,,,,,,
381,Katniss Everdeen,0,Female,1,Human,1,,1,-99.0,-99.0,,,,,,,
382,Kevin 11,0,Male,1,Human,Black,DC Comics,1,-99.0,-99.0,,,,,,,
383,Kick-Ass,0,Male,blue,Human,Blond,Icon Comics,1,-99.0,-99.0,,,,,,,
384,Kid Flash,0,Male,green,Human,Red,DC Comics,1,-99.0,-99.0,,,,,,,
385,Kid Flash II,0,Male,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
386,Killer Croc,1,Male,red,Metahuman,No Hair,DC Comics,green,244.0,356.0,,,,,,,
387,Killer Frost,1,Female,blue,Human,Blond,DC Comics,blue,-99.0,-99.0,,,,,,,
388,Kilowog,0,Male,red,Bolovaxian,No Hair,DC Comics,pink,234.0,324.0,,,,,,,
389,King Kong,0,Male,yellow,Animal,Black,,1,30.5,,,,,,,,
390,King Shark,1,Male,black,Animal,No Hair,DC Comics,1,-99.0,-99.0,,,,,,,
391,Kingpin,1,Male,blue,Human,No Hair,Marvel Comics,1,201.0,203.0,,,,,,,
392,Klaw,1,Male,red,Human,No Hair,Marvel Comics,red,188.0,97.0,,,,,,,
393,Kool-Aid Man,0,Male,black,1,No Hair,,red,-99.0,-99.0,,,,,,,
394,Kraven II,1,Male,brown,Human,Black,Marvel Comics,1,191.0,99.0,,,,,,,
395,Kraven the Hunter,1,Male,brown,Human,Black,Marvel Comics,1,183.0,106.0,,,,,,,
396,Krypto,0,Male,blue,Kryptonian,White,DC Comics,1,64.0,18.0,,,,,,,
397,Kyle Rayner,0,Male,green,Human,Black,DC Comics,1,180.0,79.0,,,,,,,
398,Kylo Ren,1,Male,1,Human,1,George Lucas,1,-99.0,-99.0,,,,,,,
399,Lady Bullseye,1,Female,1,1,Black,Marvel Comics,1,-99.0,-99.0,,,,,,,
400,Lady Deathstrike,1,Female,brown,Cyborg,Black,Marvel Comics,1,175.0,58.0,,,,,,,
401,Leader,1,Male,green,1,No Hair,Marvel Comics,1,178.0,63.0,,,,,,,
402,Leech,0,Male,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
403,Legion,0,Male,green / blue,Mutant,Black,Marvel Comics,1,175.0,59.0,,,,,,,
404,Leonardo,0,Male,blue,Mutant,No Hair,IDW Publishing,green,-99.0,-99.0,,,,,,,
405,Lex Luthor,1,Male,green,Human,No Hair,DC Comics,1,188.0,95.0,,,,,,,
406,Light Lass,0,Female,blue,1,Red,DC Comics,1,165.0,54.0,,,,,,,
407,Lightning Lad,0,Male,blue,1,Red,DC Comics,1,155.0,65.0,,,,,,,
408,Lightning Lord,1,Male,blue,1,Red,DC Comics,1,191.0,95.0,,,,,,,
409,Living Brain,1,1,yellow,1,1,Marvel Comics,1,198.0,360.0,,,,,,,
410,Living Tribunal,1,1,blue,Cosmic Entity,No Hair,Marvel Comics,gold,-99.0,-99.0,,,,,,,
411,Liz Sherman,0,Female,1,1,1,Dark Horse Comics,1,-99.0,-99.0,,,,,,,
412,Lizard,1,Male,red,Human,No Hair,Marvel Comics,1,203.0,230.0,,,,,,,
413,Lobo,1,Male,red,Czarnian,Black,DC Comics,blue-white,229.0,288.0,,,,,,,
414,Loki,1,Male,green,Asgardian,Black,Marvel Comics,1,193.0,236.0,,,,,,,
415,Longshot,0,Male,blue,Human,Blond,Marvel Comics,1,188.0,36.0,,,,,,,
416,Luke Cage,0,Male,brown,Human,Black,Marvel Comics,1,198.0,191.0,,,,,,,
417,Luke Campbell,1,Male,1,1,1,NBC - Heroes,1,-99.0,-99.0,,,,,,,
418,Luke Skywalker,0,Male,blue,Human,Blond,George Lucas,1,168.0,77.0,,,,,,,
419,Luna,0,Female,1,Human,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
420,Lyja,0,Female,green,1,Green,Marvel Comics,1,-99.0,-99.0,,,,,,,
421,Mach-IV,1,Male,brown,1,Brown,Marvel Comics,1,180.0,79.0,,,,,,,
422,Machine Man,0,1,red,1,Black,Marvel Comics,1,183.0,383.0,,,,,,,
423,Magneto,1,Male,grey,Mutant,White,Marvel Comics,1,188.0,86.0,,,,,,,
424,Magog,0,Male,blue,1,Blond,DC Comics,1,-99.0,-99.0,,,,,,,
425,Magus,1,Male,black,1,1,Marvel Comics,1,183.0,-99.0,,,,,,,
426,Man of Miracles,1,1,blue,God / Eternal,Silver,Image Comics,1,-99.0,-99.0,,,,,,,
427,Man-Bat,1,Male,brown,Human,Brown,DC Comics,1,-99.0,-99.0,,,,,,,
428,Man-Thing,0,Male,red,1,No Hair,Marvel Comics,green,213.0,225.0,,,,,,,
429,Man-Wolf,0,Male,brown,1,Auburn,Marvel Comics,1,188.0,90.0,,,,,,,
430,Mandarin,1,Male,blue,Human,White,Marvel Comics,1,188.0,97.0,,,,,,,
431,Mantis,0,Female,green,Human-Kree,Black,Marvel Comics,green,168.0,52.0,,,,,,,
432,Martian Manhunter,0,Male,red,Martian,No Hair,DC Comics,green,201.0,135.0,,,,,,,
433,Marvel Girl,0,Female,green,1,Red,Marvel Comics,1,170.0,56.0,,,,,,,
434,Master Brood,0,Male,blue,1,Black,Team Epic TV,1,183.0,81.0,,,,,,,
435,Master Chief,0,Male,brown,Human / Altered,Brown,Microsoft,1,213.0,-99.0,,,,,,,
436,Match,1,Male,black,1,Black,DC Comics,1,-99.0,-99.0,,,,,,,
437,Matt Parkman,0,Male,1,1,1,NBC - Heroes,1,-99.0,-99.0,,,,,,,
438,Maverick,0,Male,blue,1,Black,Marvel Comics,1,193.0,110.0,,,,,,,
439,Maxima,1,Female,brown,1,Red,DC Comics,1,180.0,72.0,,,,,,,
440,Maya Herrera,0,Female,1,1,1,NBC - Heroes,1,-99.0,-99.0,,,,,,,
441,Medusa,0,Female,green,Inhuman,Red,Marvel Comics,1,180.0,59.0,,,,,,,
442,Meltdown,0,Female,blue,1,Blond,Marvel Comics,1,165.0,54.0,,,,,,,
443,Mephisto,1,Male,white,1,Black,Marvel Comics,1,198.0,140.0,,,,,,,
444,Mera,0,Female,blue,Atlantean,Red,DC Comics,1,175.0,72.0,,,,,,,
445,Metallo,1,Male,green,Android,Brown,DC Comics,1,196.0,90.0,,,,,,,
446,Metamorpho,0,Male,black,1,No Hair,DC Comics,1,185.0,90.0,,,,,,,
447,Meteorite,0,Female,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
448,Metron,0,Male,blue,1,Black,DC Comics,1,185.0,86.0,,,,,,,
449,Micah Sanders,0,Male,brown,1,Black,NBC - Heroes,1,-99.0,-99.0,,,,,,,
450,Michelangelo,0,Male,blue,Mutant,1,IDW Publishing,green,-99.0,-99.0,,,,,,,
451,Micro Lad,0,Male,grey,1,Brown,DC Comics,1,183.0,77.0,,,,,,,
452,Mimic,0,Male,brown,1,Brown,Marvel Comics,1,188.0,101.0,,,,,,,
453,Minna Murray,0,Female,1,1,1,Wildstorm,1,-99.0,-99.0,,,,,,,
454,Misfit,0,Female,blue,1,Red,DC Comics,1,-99.0,-99.0,,,,,,,
455,Miss Martian,0,Female,red,1,Red,DC Comics,1,178.0,61.0,,,,,,,
456,Mister Fantastic,0,Male,brown,Human / Radiation,Brown,Marvel Comics,1,185.0,81.0,,,,,,,
457,Mister Freeze,1,Male,1,Human,1,DC Comics,1,183.0,86.0,,,,,,,
458,Mister Knife,1,Male,blue,Spartoi,Brown,Marvel Comics,1,-99.0,-99.0,,,,,,,
459,Mister Mxyzptlk,1,Male,1,God / Eternal,1,DC Comics,1,-99.0,-99.0,,,,,,,
460,Mister Sinister,1,Male,red,Human / Altered,Black,Marvel Comics,1,196.0,128.0,,,,,,,
461,Mister Zsasz,1,Male,blue,Human,Blond,DC Comics,1,-99.0,-99.0,,,,,,,
462,Mockingbird,0,Female,blue,Human,Blond,Marvel Comics,1,175.0,61.0,,,,,,,
463,MODOK,1,Male,white,Cyborg,Brownn,Marvel Comics,1,366.0,338.0,,,,,,,
464,Mogo,0,Male,1,Planet,1,DC Comics,1,-99.0,-99.0,,,,,,,
465,Mohinder Suresh,0,Male,1,1,1,NBC - Heroes,1,-99.0,-99.0,,,,,,,
466,Moloch,1,Male,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
467,Molten Man,1,Male,gold,1,Gold,Marvel Comics,1,196.0,248.0,,,,,,,
468,Monarch,0,Male,blue,1,White,DC Comics,1,193.0,90.0,,,,,,,
469,Monica Dawson,0,Female,1,1,1,NBC - Heroes,1,-99.0,-99.0,,,,,,,
470,Moon Knight,0,Male,brown,Human,Brown,Marvel Comics,1,188.0,101.0,,,,,,,
471,Moonstone,1,Female,blue,1,Blond,Marvel Comics,1,180.0,59.0,,,,,,,
472,Morlun,1,Male,white / red,1,Black,Marvel Comics,1,188.0,79.0,,,,,,,
473,Morph,0,Male,white,1,No Hair,Marvel Comics,1,178.0,79.0,,,,,,,
474,Moses Magnum,1,Male,brown,1,Black,Marvel Comics,1,175.0,72.0,,,,,,,
475,Mr Immortal,0,Male,blue,Mutant,Blond,Marvel Comics,1,188.0,70.0,,,,,,,
476,Mr Incredible,0,Male,blue,Human,Blond,Dark Horse Comics,1,201.0,158.0,,,,,,,
477,Ms Marvel II,0,Female,blue,1,Red,Marvel Comics,1,173.0,61.0,,,,,,,
478,Multiple Man,0,Male,blue,1,Brown,Marvel Comics,1,180.0,70.0,,,,,,,
479,Mysterio,1,Male,brown,Human,No Hair,Marvel Comics,1,180.0,79.0,,,,,,,
480,Mystique,1,Female,yellow (without irises),Mutant,Red / Orange,Marvel Comics,blue,178.0,54.0,,,,,,,
481,Namor,0,Male,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
483,Namora,0,Female,blue,1,Blond,Marvel Comics,1,180.0,85.0,,,,,,,
484,Namorita,0,Female,blue,1,Blond,Marvel Comics,1,168.0,101.0,,,,,,,
485,Naruto Uzumaki,0,Male,1,Human,1,Shueisha,1,168.0,54.0,,,,,,,
486,Nathan Petrelli,0,Male,brown,1,1,NBC - Heroes,1,-99.0,-99.0,,,,,,,
487,Nebula,1,Female,blue,Luphomoid,No Hair,Marvel Comics,blue,185.0,83.0,,,,,,,
488,Negasonic Teenage Warhead,0,Female,black,Mutant,Black,Marvel Comics,1,-99.0,-99.0,,,,,,,
489,Nick Fury,0,Male,brown,Human,Brown / White,Marvel Comics,1,185.0,99.0,,,,,,,
490,Nightcrawler,0,Male,yellow,1,Indigo,Marvel Comics,1,175.0,88.0,,,,,,,
491,Nightwing,0,Male,blue,Human,Black,DC Comics,1,178.0,79.0,,,,,,,
492,Niki Sanders,0,Female,blue,1,Blond,NBC - Heroes,1,-99.0,-99.0,,,,,,,
493,Nina Theroux,0,Female,1,Alpha,1,SyFy,1,-99.0,-99.0,,,,,,,
494,Nite Owl II,0,Male,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
495,Northstar,0,Male,blue,1,Black,Marvel Comics,1,180.0,83.0,,,,,,,
496,Nova,0,Male,brown,Human,Brown,Marvel Comics,1,185.0,86.0,,,,,,,
498,Odin,0,Male,blue,God / Eternal,White,Marvel Comics,1,206.0,293.0,,,,,,,
499,Offspring,0,Male,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
500,Omega Red,1,Male,red,1,Blond,Marvel Comics,1,211.0,191.0,,,,,,,
501,Omniscient,0,Male,brown,1,Black,Team Epic TV,1,180.0,65.0,,,,,,,
502,One Punch Man,0,Male,1,Human,No Hair,Shueisha,1,175.0,69.0,,,,,,,
503,One-Above-All,1,1,1,Cosmic Entity,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
504,Onslaught,1,Male,red,Mutant,No Hair,Marvel Comics,1,305.0,405.0,,,,,,,
505,Oracle,0,Female,blue,Human,Red,DC Comics,1,178.0,59.0,,,,,,,
506,Osiris,0,Male,brown,1,Brown,DC Comics,1,-99.0,-99.0,,,,,,,
507,Overtkill,1,Male,1,1,1,Image Comics,1,-99.0,-99.0,,,,,,,
508,Ozymandias,1,Male,blue,Human,Blond,DC Comics,1,-99.0,-99.0,,,,,,,
509,Parademon,1,1,1,Parademon,1,DC Comics,1,-99.0,-99.0,,,,,,,
510,Paul Blart,0,Male,1,Human,1,Sony Pictures,1,170.0,117.0,,,,,,,
511,Penance,0,1,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
512,Penance I,0,Female,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
513,Penance II,0,Male,blue,1,Blond,Marvel Comics,1,183.0,89.0,,,,,,,
514,Penguin,1,Male,blue,Human,Black,DC Comics,1,157.0,79.0,,,,,,,
515,Peter Petrelli,0,Male,1,1,1,NBC - Heroes,1,-99.0,-99.0,,,,,,,
516,Phantom,0,Male,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
517,Phantom Girl,0,Female,blue,1,Black,DC Comics,1,168.0,54.0,,,,,,,
518,Phoenix,0,Female,green,Mutant,Red,Marvel Comics,1,168.0,52.0,,,,,,,
519,Plantman,1,Male,green,Mutant,Grey,Marvel Comics,1,183.0,87.0,,,,,,,
520,Plastic Lad,0,Male,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
521,Plastic Man,0,Male,blue,Human,Black,DC Comics,1,185.0,80.0,,,,,,,
522,Plastique,1,Female,blue,1,Red,DC Comics,1,168.0,55.0,,,,,,,
523,Poison Ivy,1,Female,green,Human,Red,DC Comics,green,168.0,50.0,,,,,,,
524,Polaris,0,Female,green,Mutant,Green,Marvel Comics,1,170.0,52.0,,,,,,,
525,Power Girl,0,Female,blue,Kryptonian,blond,DC Comics,1,180.0,81.0,,,,,,,
526,Power Man,0,Male,1,Mutant,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
527,Predator,1,Male,1,Yautja,1,Dark Horse Comics,1,213.0,234.0,,,,,,,
528,Professor X,0,Male,blue,Mutant,No Hair,Marvel Comics,1,183.0,86.0,,,,,,,
529,Professor Zoom,1,Male,blue,Human,Strawberry Blond,DC Comics,1,180.0,81.0,,,,,,,
530,Proto-Goblin,1,Male,green,1,Blond,Marvel Comics,1,-99.0,-99.0,,,,,,,
531,Psylocke,0,Female,blue,Mutant,Purple,Marvel Comics,1,180.0,70.0,,,,,,,
532,Punisher,0,Male,blue,Human,Black,Marvel Comics,1,183.0,90.0,,,,,,,
533,Purple Man,1,Male,purple,Human,Purple,Marvel Comics,purple,180.0,74.0,,,,,,,
534,Pyro,1,Male,blue,1,Blond,Marvel Comics,1,178.0,68.0,,,,,,,
535,Q,1,Male,1,God / Eternal,1,Star Trek,1,-99.0,-99.0,,,,,,,
536,Quantum,0,Male,1,1,1,HarperCollins,1,-99.0,-99.0,,,,,,,
537,Question,0,Male,blue,Human,Blond,DC Comics,1,188.0,83.0,,,,,,,
538,Quicksilver,0,Male,blue,Mutant,Silver,Marvel Comics,1,183.0,79.0,,,,,,,
539,Quill,0,Male,brown,1,Brown,Marvel Comics,1,163.0,56.0,,,,,,,
540,Ra's Al Ghul,1,Male,green,Human,Grey,DC Comics,1,193.0,97.0,,,,,,,
541,Rachel Pirzad,0,Female,1,Alpha,1,SyFy,1,-99.0,-99.0,,,,,,,
542,Rambo,0,Male,brown,Human,Black,,1,178.0,83.0,,,,,,,
543,Raphael,0,Male,1,Mutant,No Hair,IDW Publishing,green,-99.0,-99.0,,,,,,,
544,Raven,1,Female,indigo,Human,Black,DC Comics,1,165.0,50.0,,,,,,,
545,Ray,0,Male,green,Human,Red,DC Comics,1,178.0,70.0,,,,,,,
546,Razor-Fist II,1,Male,blue,1,No Hair,Marvel Comics,1,191.0,117.0,,,,,,,
547,Red Arrow,0,Male,green,Human,Red,DC Comics,1,180.0,83.0,,,,,,,
548,Red Hood,1,Male,blue,Human,Black,DC Comics,1,183.0,81.0,,,,,,,
549,Red Hulk,1,Male,yellow,Human / Radiation,Black,Marvel Comics,red,213.0,630.0,,,,,,,
550,Red Mist,1,Male,1,1,1,Icon Comics,1,-99.0,-99.0,,,,,,,
551,Red Robin,0,Male,blue,Human,Black,DC Comics,1,165.0,56.0,,,,,,,
552,Red Skull,1,Male,blue,1,No Hair,Marvel Comics,1,188.0,108.0,,,,,,,
553,Red Tornado,0,Male,green,Android,No Hair,DC Comics,1,185.0,146.0,,,,,,,
554,Redeemer II,1,Male,1,1,1,Image Comics,1,-99.0,-99.0,,,,,,,
555,Redeemer III,1,Male,1,1,1,Image Comics,1,-99.0,-99.0,,,,,,,
556,Renata Soliz,0,Female,1,1,1,HarperCollins,1,-99.0,-99.0,,,,,,,
557,Rey,0,Female,hazel,Human,Brown,George Lucas,1,297.0,-99.0,,,,,,,
558,Rhino,1,Male,brown,Human / Radiation,Brown,Marvel Comics,1,196.0,320.0,,,,,,,
559,Rick Flag,1,Male,blue,1,Brown,DC Comics,1,185.0,85.0,,,,,,,
560,Riddler,1,Male,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
561,Rip Hunter,0,Male,blue,Human,Blond,DC Comics,1,-99.0,-99.0,,,,,,,
562,Ripcord,0,Female,green,1,Black,Marvel Comics,1,180.0,72.0,,,,,,,
563,Robin,0,Male,blue,Human,Black,DC Comics,1,178.0,79.0,,,,,,,
564,Robin II,0,Male,blue,Human,Red,DC Comics,1,183.0,101.0,,,,,,,
565,Robin III,0,Male,blue,Human,Black,DC Comics,1,165.0,56.0,,,,,,,
566,Robin V,0,Male,blue,Human,Black,DC Comics,1,137.0,38.0,,,,,,,
567,Robin VI,1,Female,green,Human,Red,DC Comics,1,-99.0,-99.0,,,,,,,
568,Rocket Raccoon,0,Male,brown,Animal,Brown,Marvel Comics,1,122.0,25.0,,,,,,,
569,Rogue,0,Female,green,1,Brown / White,Marvel Comics,1,173.0,54.0,,,,,,,
570,Ronin,0,Male,blue,Human,Blond,Marvel Comics,1,191.0,104.0,,,,,,,
571,Rorschach,0,Male,blue,Human,Red,DC Comics,1,168.0,63.0,,,,,,,
572,Sabretooth,1,Male,amber,Mutant,Blond,Marvel Comics,1,198.0,171.0,,,,,,,
573,Sage,0,Female,blue,1,Black,Marvel Comics,1,170.0,61.0,,,,,,,
574,Sandman,1,Male,brown,Human,Brown,Marvel Comics,1,185.0,203.0,,,,,,,
575,Sasquatch,0,Male,red,1,Orange,Marvel Comics,1,305.0,900.0,,,,,,,
576,Sauron,1,Male,1,Maiar,1,J. R. R. Tolkien,1,279.0,-99.0,,,,,,,
577,Savage Dragon,0,Male,1,1,1,Image Comics,1,-99.0,-99.0,,,,,,,
578,Scarecrow,1,Male,blue,Human,Brown,DC Comics,1,183.0,63.0,,,,,,,
579,Scarlet Spider,0,Male,blue,Human,Blond,Marvel Comics,1,178.0,74.0,,,,,,,
580,Scarlet Spider II,0,Male,brown,Clone,Brown,Marvel Comics,1,193.0,113.0,,,,,,,
581,Scarlet Witch,1,Female,blue,Mutant,Brown,Marvel Comics,1,170.0,59.0,,,,,,,
582,Scorpia,1,Female,green,1,Red,Marvel Comics,1,-99.0,-99.0,,,,,,,
583,Scorpion,1,Male,brown,Human,Brown,Marvel Comics,1,211.0,310.0,,,,,,,
584,Sebastian Shaw,1,Male,1,Mutant,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
585,Sentry,1,Male,blue,Mutant,Blond,Marvel Comics,1,188.0,87.0,,,,,,,
586,Shadow King,0,1,red,1,1,Marvel Comics,1,185.0,149.0,,,,,,,
587,Shadow Lass,0,Female,black,Talokite,Black,DC Comics,blue,173.0,54.0,,,,,,,
588,Shadowcat,0,Female,hazel,Mutant,Brown,Marvel Comics,1,168.0,50.0,,,,,,,
589,Shang-Chi,0,Male,brown,Human,Black,Marvel Comics,1,178.0,79.0,,,,,,,
590,Shatterstar,0,Male,brown,1,Red,Marvel Comics,1,191.0,88.0,,,,,,,
591,She-Hulk,0,Female,green,Human,Green,Marvel Comics,1,201.0,315.0,,,,,,,
592,She-Thing,0,Female,blue,Human / Radiation,No Hair,Marvel Comics,1,183.0,153.0,,,,,,,
593,Shocker,1,Male,brown,Human,Brown,Marvel Comics,1,175.0,79.0,,,,,,,
594,Shriek,0,Female,yellow / blue,1,Black,Marvel Comics,1,173.0,52.0,,,,,,,
595,Shrinking Violet,0,Female,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
596,Sif,0,Female,blue,Asgardian,Black,Marvel Comics,1,188.0,191.0,,,,,,,
